index,0,laplace_method,cluster_method,n_components
normalized/Lsym_discretize_34,0.5825591977742819,normalized/Lsym,discretize,34
normalized/Lsym_discretize_32,0.5674480393670872,normalized/Lsym,discretize,32
normalized/Lsym_discretize_30,0.5652564037273922,normalized/Lsym,discretize,30
normalized/Lsym_discretize_28,0.5582236792008791,normalized/Lsym,discretize,28
normalized/Lsym_discretize_78,0.5478306149907168,normalized/Lsym,discretize,78
normalized/Lsym_discretize_26,0.5393847633278979,normalized/Lsym,discretize,26
normalized/Lsym_discretize_64,0.5388505286594648,normalized/Lsym,discretize,64
normalized/Lsym_discretize_68,0.5384665630406293,normalized/Lsym,discretize,68
normalized/Lsym_discretize_48,0.5363611500430745,normalized/Lsym,discretize,48
normalized/Lsym_discretize_56,0.5361364985880827,normalized/Lsym,discretize,56
normalized/Lsym_discretize_66,0.5358112835654845,normalized/Lsym,discretize,66
normalized/Lsym_discretize_24,0.5354792282208801,normalized/Lsym,discretize,24
normalized/Lsym_discretize_58,0.5351759986425166,normalized/Lsym,discretize,58
normalized/Lsym_discretize_70,0.5351358367239705,normalized/Lsym,discretize,70
normalized/Lsym_discretize_62,0.5339562265199062,normalized/Lsym,discretize,62
normalized/Lsym_discretize_74,0.5338266673757739,normalized/Lsym,discretize,74
normalized/Lsym_discretize_72,0.5337937618204208,normalized/Lsym,discretize,72
normalized/Lsym_discretize_44,0.5337894511180041,normalized/Lsym,discretize,44
normalized/Lsym_discretize_76,0.533574625789252,normalized/Lsym,discretize,76
normalized/Lsym_discretize_46,0.5325436446550963,normalized/Lsym,discretize,46
normalized/Lsym_discretize_54,0.5318519620172893,normalized/Lsym,discretize,54
normalized/Lsym_discretize_36,0.530884813372293,normalized/Lsym,discretize,36
normalized/Lsym_discretize_60,0.5308791863202468,normalized/Lsym,discretize,60
normalized/Lsym_discretize_52,0.5275167882544414,normalized/Lsym,discretize,52
normalized/Lsym_discretize_50,0.5272744800047006,normalized/Lsym,discretize,50
normalized/Lsym_discretize_42,0.5271932524592471,normalized/Lsym,discretize,42
normalized/Lsym_discretize_38,0.5263738752047331,normalized/Lsym,discretize,38
